,gene1,gene2
1243,88,9707
1244,89,537
1245,89,4016
1246,89,4156
1247,90,9650
1248,91,126
1249,91,253
1250,91,306
1251,91,830
1252,91,1669
1253,91,2053
1254,91,2065
1255,91,2193
1256,91,2195
1257,91,2225
1258,91,2649
1259,91,2656
1260,91,2713
1261,91,2721
1262,91,3097
1263,91,3307
1264,91,4003
1265,91,4286
1266,91,4379
1267,91,4712
1268,91,4738
1269,91,4764
1270,91,4827
1271,91,5911
1272,91,6225
1273,91,6655
1274,91,6664
1275,91,6963
1276,91,7496
1277,91,7551
1278,91,7752
1279,91,7856
1280,91,8714
1281,91,8746
1282,91,8859
1283,91,8904
1284,91,8984
1285,91,8985
1286,91,8986
1287,91,9083
1288,91,9507
1289,91,9511
1290,91,9685
1291,91,9895
1292,91,9913
1293,92,126
1294,92,285
1295,92,288
1296,92,895
1297,92,1348
1298,92,1847
1299,92,2001
1300,92,5809
1301,93,285
1302,93,1123
1303,93,1124
1304,93,3401
1305,93,6267
1306,94,5576
1307,95,537
1308,95,1149
1309,95,1812
1310,95,1822
1311,95,1844
1312,95,2712
1313,95,3742
1314,95,4688
1315,95,4693
1316,95,7075
1317,96,331
1318,96,335
1319,96,398
1320,96,765
1321,96,835
1322,96,864
1323,96,936
1324,96,961
1325,96,1186
1326,96,1201
1327,96,1989
1328,96,2001
1329,96,2062
1330,96,2245
1331,96,2249
1332,96,2315
1333,96,2590
1334,96,2655
1335,96,2669
1336,96,2732
1337,96,3226
1338,96,3623
1339,96,3782
1340,96,3787
1341,96,3904
1342,96,4767
1343,96,4910
1344,96,5968
1345,96,6225
1346,96,6516
1347,96,7088
1348,96,7131
1349,96,7208
1350,96,7637
1351,96,7652
1352,96,7763
1353,96,7819
1354,96,7968
1355,96,7969
1356,96,8023
1357,96,8024
1358,96,8116
1359,96,8412
1360,96,8501
1361,96,8632
1362,96,8777
1363,96,8782
1364,96,8789
1365,96,9866
1366,96,9914
1367,97,1271
1368,97,1274
1369,97,1285
1370,97,1286
1371,97,1287
1372,97,2076
1373,97,2085
1374,97,2087
1375,98,730
1376,98,3592
1377,99,1269
1378,99,1273
1379,99,1274
1380,99,1276
1381,99,1285
1382,99,1286
1383,99,1287
1384,99,1450
1385,99,2080
1386,100,537
1387,100,558
1388,100,662
1389,100,703
1390,100,830
1391,100,861
1392,100,1293
1393,100,1468
1394,100,2061
1395,100,2062
1396,100,3131
1397,100,3646
1398,100,3781
1399,100,3783
1400,100,3784
1401,100,3786
1402,100,3831
1403,100,4155
1404,100,4331
1405,100,4407
1406,100,4625
1407,100,4627
1408,100,4910
1409,100,4982
1410,100,5122
1411,100,5127
1412,100,5920
1413,100,6113
1414,100,6288
1415,100,6408
1416,100,7041
1417,100,7079
1418,100,7080
1419,100,8078
1420,100,8116
1421,100,8638
1422,100,8984
1423,100,8985
1424,100,9002
1425,100,9009
1426,100,9558
1427,100,9732
1428,100,9866
1429,101,335
1430,101,537
1431,101,1026
1432,101,1737
1433,101,2038
1434,101,2217
1435,101,3217
1436,101,3788
1437,101,4757
1438,101,5787
1439,101,5989
1440,101,6182
1441,101,7088
1442,101,7199
1443,101,7301
1444,101,8046
1445,101,8740
1446,101,9903
1447,102,73
1448,102,85
1449,102,537
1450,102,779
1451,102,1450
1452,102,1728
1453,102,4343
1454,102,5576
1455,102,8105
1456,102,8778
1457,102,9716
1458,103,2075
1459,103,3837
1460,103,6545
1461,104,10020
1462,106,2164
1463,106,2613
1464,106,2991
1465,106,5827
1466,106,6543
1467,106,7681
1468,106,7881
1469,106,8114
1470,106,9558
1471,107,1886
1472,107,3256
1473,107,3600
1474,107,4953
1475,107,5666
1476,107,6465
1477,107,6649
1478,107,6655
1479,107,7737
1480,107,7903
1481,107,8255
1482,107,9548
1483,107,9568
1484,110,2060
1485,111,839
1486,111,1450
1487,111,1855
1488,111,2034
1489,111,2665
1490,111,2729
1491,111,2740
1492,111,2746
1493,111,2747
1494,111,2879
1495,111,3131
1496,111,3237
1497,111,4155
1498,111,4274
1499,111,4343
1500,111,4513
1501,111,4726
1502,111,4988
1503,111,6212
1504,111,6225
1505,111,6458
1506,111,7687
1507,111,8602
1508,111,9233
1509,111,9716
1510,111,9732
1511,111,9922
1512,112,1218
1513,112,2401
1514,112,2991
1515,112,4953
1516,112,9652
1517,115,2618
1518,115,3533
1519,115,5054
1520,115,8589
1521,115,9224
1522,115,9926
