,mir,disease
1113,65,8281
1114,65,8293
1115,65,8366
1116,65,8666
1117,65,8693
1118,65,9074
1119,65,9525
1120,65,9615
1121,65,9950
1122,65,9991
1123,65,10376
1124,65,10465
1125,65,10760
1126,65,10761
1127,65,10765
1128,65,10767
1129,65,10831
1130,65,10832
1131,65,11212
1132,65,11284
1133,65,11513
1134,66,456
1135,66,727
1136,66,1048
1137,66,1557
1138,66,2135
1139,66,2143
1140,66,2160
1141,66,2361
1142,66,2472
1143,66,2660
1144,66,2710
1145,66,3988
1146,66,4657
1147,66,4669
1148,66,4748
1149,66,4751
1150,66,6476
1151,66,6645
1152,66,6669
1153,66,7445
1154,66,7465
1155,66,7793
1156,66,7873
1157,66,8250
1158,66,8311
1159,66,8974
1160,66,9525
1161,66,9950
1162,66,9982
1163,66,10465
1164,66,10767
1165,66,10831
1166,67,456
1167,67,727
1168,67,1048
1169,67,1557
1170,67,2135
1171,67,2143
1172,67,2160
1173,67,2361
1174,67,2472
1175,67,2660
1176,67,2710
1177,67,3988
1178,67,4657
1179,67,4669
1180,67,4748
1181,67,4751
1182,67,6645
1183,67,7445
1184,67,7465
1185,67,7873
1186,67,8250
1187,67,8974
1188,67,9525
1189,67,9950
1190,67,9982
1191,67,10465
1192,67,10767
1193,67,10831
1194,68,456
1195,68,727
1196,68,1048
1197,68,1557
1198,68,2135
1199,68,2143
1200,68,2160
1201,68,2660
1202,68,2710
1203,68,3988
1204,68,4657
1205,68,4669
1206,68,4748
1207,68,4751
1208,68,6645
1209,68,7445
1210,68,7465
1211,68,7873
1212,68,8250
1213,68,8974
1214,68,9525
1215,68,9950
1216,68,9982
1217,68,10831
1218,69,1497
1219,69,2142
1220,69,2176
1221,69,4656
1222,69,8957
1223,70,6645
1224,71,1557
1225,72,1557
1226,73,551
1227,73,671
1228,73,1557
1229,73,2115
1230,73,2117
1231,73,2119
1232,73,2135
1233,73,2143
1234,73,2154
1235,73,2710
1236,73,2956
1237,73,3381
1238,73,3570
1239,73,3874
1240,73,3884
1241,73,4126
1242,73,4669
1243,73,5133
1244,73,5206
1245,73,5943
1246,73,6476
1247,73,7465
1248,73,8250
1249,73,8974
1250,73,9253
1251,73,9599
1252,73,9615
1253,73,10759
1254,73,10765
1255,73,10927
1256,74,551
1257,74,2116
1258,74,2117
1259,74,4748
1260,74,8180
1261,74,8666
1262,74,8974
1263,74,9275
1264,74,9525
1265,75,1557
1266,75,2232
1267,75,8180
1268,76,2135
1269,76,7465
1270,76,10606
1271,77,780
1272,77,906
1273,77,1557
1274,77,2143
1275,77,2232
1276,77,2710
1277,77,3457
1278,77,4748
1279,77,4751
1280,77,5378
1281,77,6219
1282,77,6586
1283,77,7465
1284,77,8301
1285,77,8666
1286,77,8974
1287,77,9982
1288,77,11058
1289,78,1557
1290,79,1557
1291,79,2160
1292,80,1557
1293,80,2160
1294,81,467
1295,81,1074
1296,81,1444
1297,81,2116
1298,81,2117
1299,81,2129
1300,81,2232
1301,81,2710
1302,81,3471
1303,81,4748
1304,81,4950
1305,81,5229
1306,81,5927
1307,81,6458
1308,81,7320
1309,81,8974
1310,81,9306
1311,81,11513
1312,82,10761
1313,83,8666
1314,84,2117
1315,84,2143
1316,84,7890
1317,84,10761
1318,84,10765
1319,85,2143
1320,86,10831
1321,87,9525
1322,88,1557
1323,88,2117
1324,88,2143
1325,88,2710
1326,88,6177
1327,88,6645
1328,88,8693
1329,89,461
1330,89,529
1331,89,808
1332,89,1074
1333,89,1133
1334,89,1142
1335,89,1444
1336,89,1557
1337,89,2114
1338,89,2115
1339,89,2117
1340,89,2119
1341,89,2129
1342,89,2135
1343,89,2142
1344,89,2143
1345,89,2144
1346,89,2147
1347,89,2155
1348,89,2159
1349,89,2249
1350,89,2571
1351,89,2695
1352,89,2708
1353,89,2710
1354,89,2972
1355,89,3081
1356,89,3457
1357,89,3994
1358,89,4657
1359,89,4671
1360,89,4748
1361,89,4751
1362,89,4950
1363,89,5063
1364,89,5116
1365,89,5117
1366,89,5133
1367,89,5231
1368,89,5242
1369,89,5862
1370,89,5937
1371,89,6141
1372,89,6217
1373,89,6434
1374,89,6458
1375,89,6468
1376,89,6476
1377,89,6578
1378,89,6645
1379,89,6651
1380,89,6669
1381,89,6682
1382,89,7445
1383,89,7465
1384,89,7793
1385,89,7817
1386,89,7831
1387,89,7873
1388,89,7885
1389,89,8180
1390,89,8486
1391,89,8589
1392,89,8666
1393,89,8693
1394,89,8974
1395,89,9265
1396,89,9373
1397,89,9803
1398,89,9902
1399,89,9917
1400,89,9950
1401,89,9982
1402,89,10760
1403,89,10763
1404,89,10765
1405,89,10922
1406,89,11458
1407,92,472
1408,92,473
1409,92,481
1410,92,530
1411,92,534
1412,92,628
1413,92,694
1414,92,727
1415,92,780
1416,92,809
1417,92,912
1418,92,1002
1419,92,1044
1420,92,1074
1421,92,1444
1422,92,1557
1423,92,2113
1424,92,2116
1425,92,2117
1426,92,2119
1427,92,2120
1428,92,2124
1429,92,2129
1430,92,2135
1431,92,2136
1432,92,2142
1433,92,2143
1434,92,2147
1435,92,2151
1436,92,2155
1437,92,2160
1438,92,2162
1439,92,2169
1440,92,2175
1441,92,2263
1442,92,2401
1443,92,2472
1444,92,2509
1445,92,2571
1446,92,2695
1447,92,2710
1448,92,2970
1449,92,3057
1450,92,3457
1451,92,3471
1452,92,3876
1453,92,3994
1454,92,3995
1455,92,4126
1456,92,4144
1457,92,4402
1458,92,4657
1459,92,4748
1460,92,4751
1461,92,4832
1462,92,5133
1463,92,5159
1464,92,5231
1465,92,5234
1466,92,5378
1467,92,5379
1468,92,5937
1469,92,5943
1470,92,6051
1471,92,6219
1472,92,6458
1473,92,6460
1474,92,6463
1475,92,6464
1476,92,6468
1477,92,6474
1478,92,6476
1479,92,6478
1480,92,6483
1481,92,6487
1482,92,6575
1483,92,6578
1484,92,6585
1485,92,6586
1486,92,6645
1487,92,6672
1488,92,6681
1489,92,7258
1490,92,7445
1491,92,7465
1492,92,7501
1493,92,7557
1494,92,7793
1495,92,7880
1496,92,7890
1497,92,8129
1498,92,8180
1499,92,8587
1500,92,8589
1501,92,8625
1502,92,8666
